page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Bahraha's Curse,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,Reduces your damage taken from environmental traps by 40%.,"When you deal damage, you have a 25% chance to create desecrated ground for 5 seconds, which reduces the Movement Speed of enemies within 3.5 meters by 60%, damages them for 349 Magic damage every 1 second, and heals you for 100% of the damage done. This effect can occur once every 5 seconds and the damage scales off your Max Health.",,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Maximum Magicka,Reduce Damage Taken,Area of Effect,All Weights,Crowd Control,Hew's Bane,Magic Damage,Restore Health,5-Piece Bonus,Light Armor,Medium Armor,Thieves Guild,Thieves Guild,Heavy Armor,,28-1206 Maximum,Any Weapon,25-1096 Maximum,25-1096 Maximum,,Jewelry,,,,,,,,,Thieves Guild Style,,,,,,,,,,,
Online:Bahsei's Mania,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 15-657 Critical Chance,"Increases your damage done against monsters by up to 15% based on your missing Magicka, reaching the maximum at 50% Magicka. Current value: 0%",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Minor Slayer,Increase Damage Dealt,Low Magicka Bonus,Light Armor,5-Piece Bonus,Rockgrove,Light Armor,Any Weapon,Jewelry,Sul-Xan Style,,Blackwood,Blackwood,,y,,,,50%,,,,,,,,,,,,,,,,,,,,,,
Online:Balorgh (set),Adds 3-129 Weapon Damage and Spell Damage,"When you use an Ultimate ability, you gain Weapon Damage and Spell Damage equal to the amount of total Ultimate consumed, and Physical Penetration and Spell Penetration equal to 23 times the amount for 12 seconds.",,,,,,,,,,,Sets,itemset,Weapon/Spell Damage,Physical/Spell Penetration,Ultimate Bonus,Undaunted Style,2-Piece Bonus,Monster Helm Sets,Head and Shoulders,March of Sacrifices,,,,,,Wolfhunter,Wolfhunter,,y,,,,,,,,,,the item set,the enemy,Balorgh,,,,,March of Sacrifices,Urgarlag Chief-bane,Balorgh,,,,,,,
Online:Bani's Torment,,Adds 4% Healing Taken,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,"When you taunt a nearby enemy, you tether to them for 15 seconds, as long as you remain within 8 meters of them. While tethered, you apply Major Maim to your enemy, reducing their damage done by 10%, and you gain Major Vitality, increasing your healing received and damage shield strength by 12%. This effect can occur once every 15 seconds.",,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Increase Healing Received,Taunt Bonus,Distance Bonus,Heavy Armor,Tether,Icereach,Major Vitality,Major Maim,5-Piece Bonus,Heavy Armor,Any Weapon,Harrowstorm,Harrowstorm,Jewelry,,28-1206 Maximum,,25-1096 Maximum,,,Icereach Coven Style,,,,,,,,,,,,,,,,,,,,
Online:Bar-Sakka (set),Adds 28-1206 Maximum Health,"While in combat, performing a Roll Dodge creates a 6 meter pool of blood. After a 1 second delay, enemies in the pool take 788 Magic Damage. Gain a Damage Shield for 6 seconds based on total damage done by the pool to enemies, up to 15000 damage. This effect can occur once every 10 seconds and the amount of damage done scales off your Max Health and cannot critically hit.",,,,,,,,,,,Sets,itemset,Maximum Health,Area of Effect,Dodge Roll Bonus,Magic Damage,Damage Shield,Monster Helm Sets,Undaunted Style,Naj-Caldeesh,2-Piece Bonus,Head and Shoulders,,,,Feast of Shadows,Feast of Shadows,,,28-1206 Maximum,,,,,,,,,the item set,the enemy,Bar-Sakka,,,,,Naj-Caldeesh,Urgarlag Chief-bane,Talen-Lah and Bar-Sakka,,,,,,,
Online:Barkskin,,Adds 28-1206 Maximum Health,Adds 3-129 Stamina Recovery,Adds 34-1487 Armor,"Reduces the duration of immobilizations and snares applied to you by 50%. When an immobilization or snare is applied to you, heal for 39-1715 Health and restore 19-858 Stamina. This effect can occur once every 5 seconds.",,,,,,,,Sets,itemset,Maximum Health,Physical/Spell Resistance,Stamina Recovery,Reduce Debuff Effects,Negative Effect on Friendly Bonus,Medium Armor,Restore Health,Elden Hollow,Restore Stamina,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Primal Style,,28-1206 Maximum,,3-129,,3,,15767,1,,,,,,Recovery,,,,,,Bogdan's Claw,,,,,,
Online:Baron Thirsk (set),Adds 3-129 Magicka Recovery,"On dealing area direct damage, mark a target for 6 seconds. Every 2 seconds after, an Explosive Scamp is spawned nearby and detonates after 1 second, dealing 362 Magic damage to up to 6 enemies within 4 meters and applying Minor Timidity for 10 seconds, draining 1 Ultimate every 1.5 seconds. Each Explosive Scamp spawned deals 100% increased damage. This effect can occur once every 25 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,,Stamina Recovery,Area of Effect Bonus,Magicka Recovery,Direct Damage Bonus,Summon,Monster Helm Sets,Magic Damage,Imperial City,Area of Effect,Minor Timidity,PvP Bonus,Undaunted Style,2-Piece Bonus,Imperial City,Imperial City,Head and Shoulders,y,,,3-129,3-129,,,,,,the item set,the enemy,Baron Thirsk,Recovery,Recovery,,,Nobles District,Tel Var equipment lockbox merchant,Baron Thirsk,,,,,,1,
Online:Baron Zaudrus (set),Adds 14-603 Maximum Health,"Applying a status effect to an enemy grants you a stack of Ambition for 10 seconds, up to 3 stacks max. When you gain 3 stacks, the stacks are removed and you gain 4 Ultimate. On gaining Ultimate, you cannot gain additional stacks of Ambition for 1 second.",,,,,,,,,,,Sets,itemset,Maximum Stamina,Maximum Health,Maximum Magicka,Status Effect Bonus,Ultimate Gain,Monster Helm Sets,Undaunted Style,The Cauldron,2-Piece Bonus,Head and Shoulders,,,,Flames of Ambition,Flames of Ambition,,,14-603 Maximum,,12-548 Maximum,12-548 Maximum,,,,,,the item set,the enemy,Baron Zaudrus,,,,,The Cauldron,Urgarlag Chief-bane,Baron Zaudrus,,,,,,4,
Online:Basalt-Blooded Warrior,,Adds 3-129 Magicka Recovery,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,"Casting an Earthen Heart ability grants you a Rock Stance for 10 seconds. While on your Primary Weapon you gain Molten Stance, granting you Major Heroism, generating 3 Ultimate every 1.5 seconds. While you are on your Secondary Weapon you gain Obsidian Stance, increasing your Healing Done and damage shields by 14%. Bar Swapping will swap your Stance automatically.",,,,,,,,Sets,itemset,Magicka Recovery,Weapon/Spell Damage,Maximum Health,Skill Bonus,Class Abilities Bonus,All Weights,Swap Weapon Bonus,Infinite Archive,Major Heroism,Increase Healing Done,Increase Shields Done,5-Piece Bonus,Light Armor,,,Medium Armor,y,28-1206 Maximum,Heavy Armor,,3-129,,Any Weapon,,,,,,,Recovery,,Jewelry,,,,,,,,,,3,
Online:Bastion of the Draoife,,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,"Blocking an attack grants you a stack of Inflection for 10 seconds, up to 3 stacks max. You can gain up to 1 stack every 0.5 seconds. Increase your Magicka and Stamina Recovery by 2-106 per stack of Inflection.",,,,,,,,Sets,itemset,Maximum Stamina,Maximum Health,Double Maximum Stamina,Block Bonus,Magicka Recovery,Heavy Armor,Stamina Recovery,Galen,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,House Mornard Style,Firesong,Firesong,,,28-1206 Maximum,,25-1096 Maximum,,,,,,,,,,,Recovery,,,,,,,,,,,,
Online:Bastion of the Heartland,,Adds 28-1206 Maximum Health,Adds 4% Healing Taken,Reduces your damage taken from Players by 3%.,Reduces your damage taken from Siege Weapons and Player area of effect abilities by 10%.,,,,,,,,Sets,itemset,Maximum Health,Reduce Damage from Players,Increase Healing Received,PvP Bonus,5-Piece Bonus,Heavy Armor,Heavy Armor,Vlastarus,Any Weapon,Jewelry,Alliance Style,Alliance Point Cost,,,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Battalion Defender,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 4% Healing Done,"When you Block, heal yourself or a group member within 15 meters of you for 897 Health. This effect can occur every 1 second and scales off your Max Health.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Done,Maximum Stamina,Block Bonus,Group Bonus,Heavy Armor,Restore Health,Elite Gear Vendors,Heal Others,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,,,Alliance Style,,28-1206 Maximum,Alliance Point Cost,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Battlefield Acrobat,,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,Adds 25-1096 Maximum Stamina,Reduces the cost of all of your abilities by 6%.,,,,,,,,Sets,itemset,Stamina Recovery,Maximum Stamina,Double Stamina Recovery,Reduce Stamina Cost,Reduce Magicka Cost,Medium Armor,Reduce Health Cost,Elite Gear Vendors,Reduce Ultimate Cost,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Alliance Style,,,Alliance Point Cost,3-129,,,,,,,,,,,Recovery,,,,,,,,,,,,
Online:Beacon of Oblivion,,Adds 34-1487 Armor,Adds 3-129 Weapon Damage and Spell Damage,Adds 28-1206 Maximum Health,"While you have a permanent pet active, gain 1840 Health and 1980 Armor. While you do not have a permanent pet active, increase your Damage Done and Healing Done by 15%. This value is reduced to 7% while affected by Battle Spirit.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Weapon/Spell Damage,Weapon/Spell Damage,Maximum Health,Double Maximum Health,All Weights,Reduce Damage Taken,Infinite Archive,Increase Damage Dealt,Increase Healing Done,5-Piece Bonus,Light Armor,Medium Armor,,,Heavy Armor,y,28-1206 Maximum,Any Weapon,,,,Jewelry,,,,,,,,,Monolith of Storms Style,,,,,,,,,,,
Online:Beckoning Steel,,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Generate an aura that causes you and 11 group members within the aura to take 10% less damage from projectiles. This bonus persists through death. You can only be affected by one instance of Beckoning Steel.,,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Group Bonus,Full Group Bonus,Heavy Armor,Distance Bonus,Vlastarus,Area of Effect,Reduce Damage Taken,Protection from Projectiles,5-Piece Bonus,Heavy Armor,,,Any Weapon,,28-1206 Maximum,Jewelry,,,,Alliance Style,,,,,,,,,Alliance Point Cost,,,,,,,,,,,
Online:Beekeeper's Gear,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 20-900 Health Recovery,,,,,,,,Sets,itemset,Maximum Health,Triple Maximum Health,Double Maximum Health,Health Recovery,5-Piece Bonus,Heavy Armor,Heavy Armor,Greenshade,Any Weapon,Jewelry,Khajiit Style,,,,,,,28-1206 Maximum,,,,3,,34710,1,,,,,,,,,,,,Archmage Macano's Mace of the Beekeeper,,,,,,
Online:Belharza's Band,"Increase the damage of your Light Attacks by 900. When you deal damage with consecutive melee Light Attacks, gain a stack of Belharza's Temper for 10 seconds, up to 5 stacks max. At 5 stacks, consume Belharza's Temper and after 1 second, deal 1471 Physical Damage to enemies in a line and stun them for 3 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,,Sets,itemset,Increase Light/Heavy Attack Damage,Melee Damage Bonus,Light Attack Bonus,Physical Damage,Area of Effect,Jewelry,Crowd Control,Antiquities,1-Piece Bonus,Jewelry,Unique Style,,,Greymoor,Deadlands,,y,,,,,5,,,,,the antiquity,the achievement,Belharza's Band (achievement),,,,,,,,,armor,Belharza's Band,m,Mythic,,right
Online:Berserking Warrior,,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,"When you deal Martial melee damage, your Critical Chance is increased by 6-298 for 5 seconds, stacking up to 5 times. This effect can occur once every half second.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Weapon/Spell Damage,Double Weapon/Spell Critical,Melee Damage Bonus,Heavy Armor,Triple Weapon/Spell Critical,Hel Ra Citadel,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Celestial Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Black Foundry Steel,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Automatically block all attacks at no cost for 2 seconds when you begin a Heavy Attack. This effect can occur once every 12 seconds.,,,,,,,,Sets,itemset,Maximum Health,Double Maximum Stamina,Maximum Stamina,Heavy Attack Bonus,Reduce Block Cost,Heavy Armor,5-Piece Bonus,Black Gem Foundry,Heavy Armor,Any Weapon,Jewelry,Black Soul Gem Style,,Feast of Shadows,Feast of Shadows,,,28-1206 Maximum,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Black Gem Monstrosity (set),Adds 34-1487 Offensive Penetration,"While in combat, casting a Soul Magic ability consumes a Soul Gem and gives you a Black Gemsplitter for 10 seconds. This effect can occur once every 6 seconds. Dealing Light or Heavy Attack damage fires the Black Gemsplitter at your target, dealing 17.1% of your target's Max Health as Magic Damage, up to 17100 Magic Damage.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Summon,Magic Damage,Skill Bonus,Light Attack Bonus,Monster Helm Sets,Heavy Attack Bonus,Black Gem Foundry,Undaunted Style,2-Piece Bonus,Head and Shoulders,,,Feast of Shadows,Feast of Shadows,,,Max,,,,,,,,,the item set,the enemy,Black Gem Monstrosity,,,,,Black Gem Foundry,Urgarlag Chief-bane,High Soulbinder Vykand,,,,,,,
Online:Black Rose,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Magicka,Increases the Magicka and Stamina restored from the Constitution passive ability by 60%.,,,,,,,,Sets,itemset,Maximum Health,Maximum Magicka,Maximum Stamina,Restore Magicka,Restore Stamina,Heavy Armor,Weapon/Spell Damage,Tel Var Merchants,Skill Bonus,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Imperial City,,Alliance Style,y,28-1206 Maximum,Tel Var Cost,25-1096 Maximum,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Black-Glove Grounding,,Adds 4% Healing Taken,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,"After taking direct damage three times within 5 seconds, you create a 5 meter area for 10 seconds that grants Grounding to you and group members, reducing the cost of roll dodging by 20% and increasing block mitigation by 12% for 15 seconds. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Increase Healing Received,Double Maximum Health,Maximum Health,Counterattack,Area of Effect,Heavy Armor,Reduce Roll Dodge Cost,Oathsworn Pit,Improved Block,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Scions of Ithelia,Scions of Ithelia,The Recollection Style,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Blackfeather Flight,,Adds 4% Healing Taken,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,"When you Break Free, gain 100% Movement Speed for 7 seconds. This effect can occur once every 28 seconds.",,,,,,,,Sets,itemset,Increase Healing Received,Physical/Spell Resistance,Maximum Health,Break Free Bonus,Increase Movement Speed,Heavy Armor,5-Piece Bonus,"""Rewards for the Worthy"" mails",Heavy Armor,Any Weapon,Jewelry,Alliance Style,,,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Blackrose Weapons,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,Murkmire,,,,,,,,,,,,,,,,,,,,,,,,w,Axe-Honor Guard,,,,
Online:Blessing of High Isle,,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,"When you are healed while in combat, increase your Weapon Damage and Spell Damage by 8-369 for 5 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Double Maximum Magicka,Magicka Recovery,Healing Bonus,Weapon/Spell Damage,Light Armor,5-Piece Bonus,High Isle,Light Armor,Any Weapon,Jewelry,Breton Style,,High Isle,High Isle,,y,,,,25-1096 Maximum,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Blessing of the Potentates,,Reduces your damage taken from Players by 3%.,Reduces the cost of your Ultimate abilities by 15%.,,,,,,,,,,Sets,itemset,Reduce Damage from Players,3-Piece Bonus,Reduce Ultimate Cost,Any Weapon,Shield,Three Piece,Jewelry,Vlastarus,Alliance Style,Alliance Point Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Blind Path Induction,,Adds 25-1096 Maximum Magicka,Adds 4% Healing Done,Adds 25-1096 Maximum Magicka,Increase the strength of your Damage Shields by 13% to you and targets within 15 meters of you. Increase your Healing Done by 13% to targets more than 15 meters away from you.,,,,,,,,Sets,itemset,Maximum Magicka,Double Maximum Magicka,Increase Healing Done,Distance Bonus,Increase Shields Done,Light Armor,Double Increase Healing Done,Bedlam Veil,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Cultist Style,Scions of Ithelia,Scions of Ithelia,,,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Blood Moon,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,"When you deal damage with a melee Light Attack, you gain a stack of Blood Scent for 8 seconds. When you gain 5 stacks, you become Frenzied for 5 seconds, increasing your melee Light Attack damage by 47-2050 and attack speed by 50%. This effect can occur every 15 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Critical,Light Attack Bonus,Medium Armor,Melee Damage Bonus,March of Sacrifices,Increase Attack Speed,Increase Light/Heavy Attack Damage,5-Piece Bonus,Medium Armor,Any Weapon,Wolfhunter,Wolfhunter,Jewelry,y,,Huntsman Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Blooddrinker,,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Increases your Bleed damaging attacks by 20%.,,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Weapon/Spell Damage,Double Weapon/Spell Critical,Increase Damage Dealt,Medium Armor,Medium Armor,Bloodroot Forge,Bloodforge Style,5-Piece Bonus,Any Weapon,Jewelry,,Horns of the Reach,Horns of the Reach,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Bloodlord's Embrace,"Dealing damage with a Bash attack places a persistent, un-cleansable Blood Curse on an enemy. You can only have one Blood Cursed enemy at a time and dealing additional Bash damage moves the Blood Curse. When you Block a Blood Cursed enemy, restore 1605 Magicka to you. This effect can occur every 1 second.",,,,,,,,,,,,Sets,itemset,Restore Magicka,Block Bonus,Bash Bonus,Unique Style,1-Piece Bonus,Heavy Armor,Heavy Armor,Antiquities,,,,,,Greymoor,Greymoor,,,,,,1605,5,,,,Fanged Cuirass,the antiquity,the achievement,Bloodlord's Embrace (achievement),,,,,,,,,armor,Bloodlord's Embrace,m,Mythic,,right
Online:Bloodspawn (set),Adds 3-129 Stamina Recovery,"When you take damage, you have a 6% chance to generate 0-13 Ultimate and increase your Physical Resistance and Spell Resistance by 86-3731 for 5 seconds. This effect can occur once every 5 seconds.",,,,,,,,,,,Sets,itemset,Stamina Recovery,Physical/Spell Resistance,Counterattack,Reduce Damage Taken,Ultimate Gain,Monster Helm Sets,Undaunted Style,Spindleclutch II,2-Piece Bonus,Head and Shoulders,,,,,,,,,,3-129,,,,,,,the item set,the enemy,Bloodspawn,,Recovery,,,Spindleclutch II,Maj al-Ragath,Vorenor Winterbourne,,,,,,0-13,
Online:Bloodthorn's Touch,,Adds 3-129 Weapon Damage and Spell Damage,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,"When you deal direct damage, you restore 18-800 Magicka and Stamina. This effect can occur once every 5 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Magicka Recovery,Maximum Magicka,Direct Damage Bonus,Restore Magicka,Light Armor,Restore Stamina,Glenumbra,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Primal Style,,,,y,,,,25-1096 Maximum,3,,42961,1,Bloodthorn Bloodcaller Clogs,,,,Recovery,,,,,,,,,,,,,
Online:Blunted Blades,,Adds 34-1487 Armor,Adds 9-421 Critical Resistance,Adds 3-129 Weapon Damage and Spell Damage,"When you take direct damage, Minor Enervation is applied to your enemy for 4 seconds, reducing their Critical Damage done by 10%. This can occur once every 5 seconds. Increase your damage done to enemies with Minor Enervation by 6%.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Weapon/Spell Damage,Maximum Stamina,Counterattack,Minor Enervation,Medium Armor,PvP Bonus,Rewards for the Worthy,Increase Damage Dealt,Debuff Bonus,5-Piece Bonus,Medium Armor,Any Weapon,,,Jewelry,y,,Alliance Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Bog Raider,,Adds 25-1096 Maximum Magicka,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,"When an enemy you have recently damaged dies, gain 10 Ultimate and increase your Health Recovery by 26-1156 for 10 seconds. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Maximum Stamina,Maximum Health,Kill Bonus,Ultimate Gain,Heavy Armor,Health Recovery,Blackwood,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Black Fin Legion Style,Blackwood,Blackwood,,,28-1206 Maximum,,25-1096 Maximum,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,10,
