page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Aspect Improvement,Enchanting,Allows the use of Common (white) and Standard (green) Aspect Runestones.,Enchanting-Aspect Improvement,46763,1.1.2,* Updated the icons for Enchanting passive skills Aspect Improvement and Potency Improvement to more closely match their associated runestone shapes.,Crafting Effect,Passive,Crafting Quality,Allows the use of Superior (blue) Aspect Runestones.,,1,,,,,,6,,,46758,46759,,,,,,,,,,,,,,,,,,,,,Allows the use of Artifact (purple) Aspect Runestones.,16,46760,,,,
Online:Aspect of Terror,Shadow,"Cost: [4050 / 3960 / 3870 / 3780] Magicka. Summon a dark spirit to terrify nearby enemies, causing them to cower in fear for 2 seconds and be afflicted with Major Cowardice for 10 seconds, reducing their Weapon Damage and Spell Damage by 430.",Shadow-Aspect of Terror,38065,1.3.3,* Manifestation of Terror: The wraith summoned by using this ability no longer has collision.,Area of Effect,,Fear,"Cost: [3510 / 3420 / 3330 / 3240] Magicka, Duration: 20 seconds, Range: 22 meters, Target: Ground. Conceal a sinister trap at the target location, which takes 2 seconds to arm and lasts for 20 seconds. When the trap is triggered, up to 6 enemies in the area become terrified, causing them to cower in fear for 2 seconds and be afflicted with Major Cowardice for 10 seconds, reducing their Weapon Damage and Spell Damage by 430.",Reduce Weapon/Spell Damage,,30,3780 Magicka,Area,Instant,Trap,,ON-skill-Aspect of Terror.jpg,Aspect of Terror visual,,,"Duration: [2 / 2.3 / 2.7 / 3] seconds. Summon a dark spirit to terrify all nearby enemies, causing them to cower in fear for [2 / 2.3 / 2.7 / 3] seconds and be afflicted with Major Cowardice for 10 seconds, reducing their Weapon Damage and Spell Damage by 430.",Mass Hysteria,38075,The ability no longer has a cap of how many targets it can affect and the fear increases in duration as the ability ranks up.,Manifestation of Terror,38096,Shadow-Manifestation of Terror,"Reduces the cost and creates a trap at your target location instead, which fears enemies when triggered.",Shadow-Mass Hysteria,Magicka Cost,,2 seconds,,Magicka,,,6 meters,,,,,,,,,,
Online:Assassin's Blade,Assassination,"Thrust a magic blade with lethal precision to stab an enemy, dealing [3074 / 3107 / 3141 / 3175] Magic Damage. Deals 300% more damage to enemies below 25% Health.",Assassination-Assassin's Blade,35584,1.2.3,* This ability's visual effects are now easier to see.,Magic Damage,,Execute,"Range: [25 / 26 / 27 / 28] meters. Throw a magic blade with lethal precision to strike an enemy, dealing 3175 Magic Damage. Deals 330% more damage to enemies below 25% Health.",Heal Self,,20,2430 Magicka,Enemy,Instant,Disease Damage,,ON-skill-Assassin's Blade.jpg,Assassin's Blade,,,"Cost: 2066 Stamina. Thrust a caustic blade with lethal precision to stab an enemy, dealing 3175 Disease Damage. Deals up to 400% more damage to enemies with less than 50% Health. Heals you for [6351 / 6420 / 6489 / 6559] if the enemy dies within 2 seconds of being struck.",Killer's Blade,35590,"Converts into a Stamina ability, deals Disease Damage, and now scales linearly based on missing Health rather than a flat value. Also heals you if the target dies within two seconds of use.",Impale,35596,Assassination-Impale,Allows you to use the ability at range and increases the execute multiplier.,Assassination-Killer's Blade,Kill Bonus,,,Magicka Cost,Magicka,7 meters,Stamina Cost,,,,,,,,,,,
Online:Athletics,Medium Armor,Increases the Movement Speed bonus of Sprint by 2% for each piece of Medium Armor equipped. Reduces the cost of Roll Dodge by 2% for each piece of Medium Armor equipped.,Medium Armor-Athletics,45574,,,Passive Effect,Passive,Medium Armor Boost,Increases the Movement Speed bonus of Sprint by 3% for each piece of Medium Armor equipped. Reduces the cost of Roll Dodge by 4% for each piece of Medium Armor equipped.,Increase Movement Speed,42,,,,,Reduce Activity Cost,50,,,29742,45574,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Atoning Spirit,Remedy of Atonement,Zerith-var conjures a ghostly spirit of a fallen Khajiit to redeem its soul in service to Azurah for 8 seconds. The spirit heals them or the lowest Health ally around them every 2 seconds restoring 1575 Health. Used when Zerith-var or an ally is below 75% Health.,Companion-Atoning Spirit,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,17,15.5 seconds,Area,0.3 seconds,,,,,,,,,,,,,,,,,,,,,,,28 meters,Summon,Heal Self,,,,,,Heal Others,,
Online:Augur,Excavation,"Indicates how near the Antiquity is to the selected location. Can only be used a limited number of times, based on the Antiquity's Difficulty. Only works on the lowest three layers of dirt and rocks. Cannot detect Bonus Loot. Using Augur does not consume a turn.",Excavation-Augur,139905,,,Passive Effect,Passive,Antiquities,"Indicates how near the Antiquity is to the selected location. Can only be used a limited number of times, based on the Antiquity's Difficulty. Works on the lowest six layers of dirt and rocks. Cannot detect Bonus Loot. Using Augur does not consume a turn.",,1,,,,,,5,,,,,,,,,,,,,,,Greymoor,,,,,,,,,,,,,,,,
Online:Azurah's Embrace,Remedy of Atonement,"Zerith-var absolves the misdeeds of fallen souls at the target location, healing themselves and their allies for 630 Health and removing up to 3 negative effects. Used when Zerith-var or an ally is below 75% Health.",Companion-Azurah's Embrace,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,8,11.6 seconds,Area,0.4 seconds,,,,,,,,,,,,,,,,,,,,,,,8 meters,Heal Self,Heal Others,,,,,,Cleanse,,
Online:Backlash,Dawn's Wrath,"Summon an expanding beam of pure sunlight to doom an enemy, dealing [3072 / 3105 / 3138 / 3174] Magic Damage immediately and marking them for 6 seconds. After the duration ends, the sunlight bursts, dealing [3401 / 3438 / 3475 / 3513] Magic Damage to the enemy, which increases based on the amount of damage you dealt to them over the duration, up to 200%. You can have only one Backlash active at a time.",Dawn's Wrath-Backlash,27227,1.3.3,* Fixed an issue where Backlash Rank III wasn't dealing any damage.,Magic Damage,,Heal Self,"Cost: 1337 Stamina. Summon an expanding beam of pure sunlight to doom an enemy, dealing 3175 Physical Damage immediately and marking them for 6 seconds. After the duration ends, the sunlight bursts, dealing 3513 Physical Damage to the enemy, which increases based on the amount of damage you dealt to them over the duration, up to 200%. You can have only one Power of the Light active at a time, and each hit of the ability applies the Sundered status effect.",Heal Others,,20,2160 Magicka,Enemy,Instant,Physical Damage,,ON-skill-Backlash.jpg,Backlash,,,"Summon an expanding beam of pure sunlight to doom an enemy, dealing 3175 Magic Damage immediately and marking them for 6 seconds. After the duration ends, the sunlight bursts, dealing 3513 Magic Damage, which increases based on the amount of damage you dealt to them over the duration, up to 200%. Also heals you and nearby allies in the area for [1587 / 1604 / 1621 / 1639] Health every 2 seconds, over 10 seconds. You can have only one Purifying Light at a time.",Purifying Light,27558,"When the effect ends, a pool of sunlight remains attached to the enemy, healing you and allies.",Power of the Light,27587,Dawn's Wrath-Power of the Light,"Converts into a Stamina ability, deals Physical Damage, and always applies the Sundered status effect.",Dawn's Wrath-Purifying Light,Apply Status Effect,,6 seconds,Reduce Armor,Magicka,28 meters,Magicka Cost,,,,Stamina Cost,,,,,,,
Online:Balanced Blade,Two Handed,WITH TWO-HANDED WEAPON EQUIPPED Reduces the Stamina cost of your Two-Handed abilities by 7%.,Two Handed-Balanced Blade,45443,1.3.3,"* Fixed an issue where Ranks I-II were named inconsistently for this ability, and were using ""1"" and ""2"" at the end of their titles.",Passive Effect,Passive,Reduce Skill Cost,WITH TWO-HANDED WEAPON EQUIPPED Reduces the Stamina cost of your Two-Handed abilities by 15%.,,17,,,,,,28,,,29388,45443,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Balanced Warrior,Aedric Spear,"Increases your Weapon Damage, Spell Damage, and Armor by 3%.",Aedric Spear-Balanced Warrior,44732,1.6.5,"* Increased the weapon damage from this passive to 3% at Rank I, and 6% at Rank II.",Passive Effect,Passive,Increase Weapon Damage,"Increases your Weapon Damage, Spell Damage, and Armor by 6%.",Increase Spell Damage,39,,,,,Increase Armor,50,,,31565,44732,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Baneslayer,Blazing Might,"Isobel Veloise channels their energy and conjures a weapon made of sunlight before striking downward, dealing 3150/6000 Magic Damage to all enemies in front of them. Enemies damaged by Baneslayer have particles remaining on them for 10 seconds that detonate for 1575/3000 Magic Damage when a player deals damage to them.",Companion-Baneslayer,163763,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,20,200 Ultimate,Enemy,3.8 seconds,,,,,,,,,,,,,,,,,High Isle,,,,15 meters,,15 x 10 meters,Magic Damage,Area of Effect,,,,,,Increase Damage Taken,,
Online:Banish the Wicked,Fighters Guild,WITH A FIGHTERS GUILD ABILITY SLOTTED You generate 1 Ultimate whenever you kill an enemy.,Fighters Guild-Banish the Wicked,45599,2.4.5,"* This passive ability now grants Ultimate whenever you kill Werewolves, as well as Undead and Daedra.",Passive Effect,Passive,Ultimate Gain,WITH A FIGHTERS GUILD ABILITY SLOTTED You generate 2 Ultimate whenever you kill an enemy.,Kill Bonus,5,,,,,,9,,,35800,45597,,,,,,,,,,,,,,,,,,,,,WITH A FIGHTERS GUILD ABILITY SLOTTED You generate 3 Ultimate whenever you kill an enemy.,10,45599,,,,
Online:Banner Bearer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,
Online:Barrier,Support,Invoke defensive tactics to protect yourself and nearby group members with wards that each absorb up to [30750 / 31088 / 31426 / 31764] damage for 30 seconds.,Support-Barrier,46609,1.2.3,* Replenishing Barrier: We have made this ability's tooltip is clearer-it now lists the correct amount of magicka restored.,Damage Shield,Ultimate,Group Bonus,"Invoke defensive tactics to protect yourself and nearby group members with wards that each absorb up to 31764 damage. Each time a ward dissolves, you restore [1200 / 1300 / 1400 / 1500] Magicka.",Heal Self,,6,250 Ultimate,Area,Instant,Heal Others,,ON-skill-Barrier.jpg,An activated Barrier,,,Invoke defensive tactics to protect yourself and nearby group members with wards that each absorb up to 31764 damage for 30 seconds. The wards also heal you and your group members for [14280 / 14430 / 14595 / 14745] Health over 15 seconds.,Reviving Barrier,46614,Shielded targets heal over time.,Replenishing Barrier,46622,Support-Replenishing Barrier,Each time a ward dissolves you restore Magicka.,Support-Reviving Barrier,Ultimate Gain,,30 seconds,Restore Magicka,,,Ultimate Cost,12 meters,,,,,,,,,,
Online:Basalt Barrier,Radiating Heart,"Bastian Hallix calls the earth to their defense, granting a damage shield for them and their nearby allies that absorbs 1575/3000 damage for 6 seconds. Used when Bastian Hallix or an ally is below 75% Health.",Companion-Basalt Barrier,153851,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,8,12 seconds,Area,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,6 seconds,,,,,28 meters,Damage Shield,,,,,,,,,
Online:Bashing Bulwark,One Hand and Shield (Companion),"Your Companion rushes an enemy and rams them, stunning them for 4 seconds.",Companion-Bashing Bulwark,155326,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,10,16 seconds,Enemy,Instant,,,,,,,,,,,,,,,,,Blackwood,,,,7 - 22 meters,,,Charge,Stun,,,,,,,,
Online:Bastion of Light,Class Mastery,"Light consecrates the ground on which you tread. Sacred Ground is now applied while you are in your own Nova and Spear Shards, and while Radial Sweep and Solar Barrage are active. While Sacred Ground is active, you heal for 1279 Health every 1 second. If you are at full Health after being healed from this effect while in combat, you also gain 2 Ultimate.",Class Mastery-Bastion of Light,263585,12.0.0,"*This passive causes you to heal for 8% of your Max Health every second that Sacred Ground is active. If you are at full Health after the heal, you generate 2 Ultimate while in combat. Sacred Ground will also be able to activate while you are inside the area of your Nova or Spear Shards, or while Radial Sweep or Solar Barrage are active.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Bat Swarm,Vampire,"Darken the sky with a cloud of bats, dealing [1798 / 1816 / 1839 / 1854] Magic Damage to nearby enemies every 1 second for 7 seconds.",Vampire-Bat Swarm,41920,1.0.7,* Fixed an issue with the ability Bat Swarm so it will no longer stack with itself. It will instead refresh if re-cast.,,Ultimate,,"Darken the sky with a cloud of bats, dealing 1860 Magic Damage to nearby enemies every 1 second for 7 seconds. The bats heal you for [1083 / 1097 / 1109 / 1119] Health for each enemy they damage.",,,5,250 Ultimate,Area,Instant,,,ON-skill-Bat Swarm.jpg,Bat Swarm,,,"Darken the sky with a cloud of bats, dealing 1860 Magic Damage to nearby enemies every 1 second for 7 seconds. While the bats swarm around you this ability changes into Materialize, allowing you to instantly teleport to an enemy and strike them for [3099 / 3135 / 3167 / 3204] Magic Damage.",Clouding Swarm,41926,"While the bats swarm around you, you can use this ability again to instantly teleport to an enemy and deal high damage.",Devouring Swarm,41937,Vampire-Devouring Swarm,The bats heal you for each enemy they damage.,Vampire-Clouding Swarm,,,7 seconds,,,,,10 meters,,,,,,,,,,
Online:Battle Resurrection,Support,Reduces the time it takes you to resurrect another player by 15% while you are in a PvP area.,Support-Battle Resurrection,45625,1.1.2,"* Fixed an issue where the Battle Resurrection was improperly usable outside of Cyrodiil. * Reduced Battle Resurrection's Cast Speed Reduction passive. * Those who have spent Skill Points in the Battle Resurrection passive will have those points returned to their overall skill point pool. You may place those Skill Points back in this ability if you wish, or invest them elsewhere.",Passive Effect,Passive,PvP Bonus,Reduces the time it takes you to resurrect another player by 30% while you are in a PvP area.,Improved Resurrection,8,,,,,,10,,,39261,45625,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Battle Roar,Earthen Heart,"Given time, the smallest rock on the mountain can cascade into pure devastation. Whenever you deal damage you gain a stack of Landslide which increases your damage done by 1% per stack, up to 10 times. This effect can occur once every 10 seconds. Every 2 seconds you do not deal damage, you lose a stack.",,44984,2.1.4,* Adjusted the scaling for combat resources to be based off of that resource instead of the maximum Magicka for all of them.,Passive Effect,Passive,Heal Self,"Given time, the smallest rock on the mountain can cascade into pure devastation. Whenever you deal damage you gain a stack of Landslide which increases your damage done by 1% per stack, up to 10 times. This effect can occur once every 5 seconds. Every 2 seconds you do not deal damage, you lose a stack.",Restore Magicka,14,,,,,Restore Stamina,27,,,29463,44984,,,,,,,,,,,,,,,,,,,,,,,,,,,
